"age" "workclass" "education_num" "marital_status" "occupation" "race" "sex" "hours_per_week" "income"
25 " Private" 10 " Married" " White-Collar" " Other" " Female" 40 38.88
18 " Private" 9 " Single" " Service" " White" " Female" 30 37.74
47 " Private" 15 " Married" " Professional" " White" " Female" 60 45.8
50 " Government" 13 " Divorced" " White-Collar" " White" " Male" 55 60.09
47 " Self-Employed" 9 " Divorced" " White-Collar" " White" " Male" 60 54.74
43 " Private" 10 " Married" " Service" " White" " Male" 40 52.14
46 " Private" 3 " Married" " Blue-Collar" " White" " Male" 40 56.54
35 " Private" 11 " Married" " Service" " White" " Male" 40 49.56
41 " Private" 9 " Married" " White-Collar" " White" " Male" 48 58.63
30 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 55.14
30 " Private" 13 " Married" " Sales" " White" " Male" 40 53.56
32 " Other/Unknown" 4 " Married" " Other/Unknown" " White" " Male" 40 48.16
48 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 54.43
42 " Private" 16 " Married" " Professional" " White" " Male" 45 54.9
29 " Private" 10 " Divorced" " Service" " White" " Male" 58 47.67
36 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 52.93
28 " Private" 10 " Divorced" " White-Collar" " White" " Female" 40 44.75
53 " Private" 9 " Married" " White-Collar" " White" " Female" 40 48.48
49 " Self-Employed" 10 " Married" " White-Collar" " White" " Male" 50 55.18
25 " Other/Unknown" 10 " Single" " Other/Unknown" " White" " Male" 40 46.89
19 " Private" 10 " Single" " Professional" " White" " Male" 32 52.73
31 " Private" 13 " Separated" " Sales" " Black" " Female" 40 38.18
29 " Self-Employed" 13 " Married" " Sales" " White" " Male" 70 46.38
23 " Private" 10 " Single" " Blue-Collar" " White" " Male" 40 53
79 " Private" 10 " Married" " Professional" " White" " Male" 20 52.65
27 " Private" 9 " Single" " Service" " White" " Male" 40 46.42
40 " Private" 12 " Married" " White-Collar" " White" " Male" 40 60.17
67 " Other/Unknown" 6 " Married" " Other/Unknown" " White" " Male" 2 47.36
18 " Private" 7 " Single" " Service" " White" " Female" 22 33.93
31 " Government" 4 " Married" " Blue-Collar" " White" " Male" 40 57.73
18 " Private" 9 " Single" " Sales" " White" " Male" 30 46.95
52 " Private" 13 " Married" " Service" " White" " Male" 40 53.8
46 " Private" 9 " Married" " Service" " White" " Female" 40 43.14
59 " Private" 9 " Married" " Sales" " White" " Male" 48 52.26
44 " Private" 9 " Divorced" " Blue-Collar" " White" " Female" 40 43.6
53 " Private" 9 " Divorced" " Sales" " White" " Female" 35 38.99
49 " Government" 9 " Married" " Service" " White" " Male" 40 57.12
33 " Private" 14 " Married" " Professional" " White" " Male" 50 57.02
30 " Private" 5 " Single" " Sales" " White" " Male" 40 47.52
43 " Government" 16 " Single" " Professional" " White" " Female" 50 45.1
57 " Private" 11 " Married" " Professional" " White" " Male" 40 56.62
37 " Private" 10 " Divorced" " Blue-Collar" " White" " Female" 40 44.4
28 " Private" 10 " Divorced" " Blue-Collar" " Black" " Female" 25 42.79
30 " Private" 9 " Married" " Sales" " Asian-Pac-Islander" " Female" 35 40.72
34 " Government" 13 " Married" " Service" " White" " Male" 40 55.99
29 " Government" 10 " Single" " Blue-Collar" " White" " Male" 50 58.19
48 " Self-Employed" 16 " Married" " Professional" " White" " Male" 60 52
37 " Private" 10 " Married" " Sales" " White" " Male" 48 57.02
48 " Private" 12 " Divorced" " White-Collar" " White" " Female" 40 48.43
32 " Government" 9 " Single" " Service" " Black" " Male" 40 43.48
76 " Private" 14 " Married" " White-Collar" " White" " Male" 40 57.77
44 " Private" 13 " Married" " White-Collar" " White" " Male" 60 57.73
47 " Self-Employed" 14 " Single" " Professional" " White" " Female" 50 38.76
20 " Private" 10 " Single" " Service" " White" " Female" 40 37.41
29 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 50.16
32 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 40 50.05
17 " Other/Unknown" 6 " Single" " Other/Unknown" " White" " Female" 32 33.24
30 " Private" 7 " Single" " Blue-Collar" " White" " Male" 40 48.7
31 " Government" 9 " Single" " White-Collar" " White" " Female" 40 43.58
42 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 54.49
24 " Private" 13 " Single" " Sales" " White" " Male" 40 50.79
38 " Private" 15 " Married" " Professional" " White" " Male" 40 53.84
56 " Self-Employed" 9 " Married" " Service" " White" " Male" 50 51.19
28 " Private" 10 " Married" " Sales" " White" " Female" 25 38.45
36 " Private" 9 " Single" " Blue-Collar" " White" " Female" 40 40.96
53 " Private" 5 " Married" " Blue-Collar" " White" " Male" 50 55.68
56 " Self-Employed" 10 " Married" " Sales" " White" " Male" 50 50.88
49 " Government" 11 " Married" " Blue-Collar" " Black" " Male" 40 52.29
55 " Private" 10 " Married" " Sales" " White" " Male" 56 52.15
22 " Private" 9 " Single" " Blue-Collar" " White" " Male" 41 48.98
21 " Private" 10 " Single" " Service" " White" " Female" 40 35.88
40 " Private" 13 " Married" " White-Collar" " White" " Male" 60 59.27
30 " Private" 13 " Single" " White-Collar" " Black" " Male" 40 44.24
29 " Government" 13 " Married" " Professional" " White" " Male" 50 57.42
19 " Private" 10 " Single" " Service" " Black" " Male" 35 39.21
47 " Private" 13 " Married" " White-Collar" " White" " Female" 40 52.33
20 " Private" 10 " Single" " White-Collar" " White" " Female" 28 41.24
31 " Private" 12 " Married" " White-Collar" " White" " Male" 40 58.32
35 " Other/Unknown" 9 " Married" " Other/Unknown" " White" " Male" 40 49.2
39 " Private" 10 " Divorced" " Blue-Collar" " White" " Male" 40 50.55
28 " Private" 12 " Single" " Sales" " White" " Female" 60 39.22
24 " Private" 9 " Single" " Service" " White" " Female" 40 40.6
38 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 35 52.88
37 " Private" 13 " Married" " Sales" " White" " Male" 50 53.72
46 " Private" 12 " Divorced" " Service" " Black" " Female" 36 39.34
38 " Government" 14 " Married" " Professional" " White" " Male" 40 54.57
43 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 60 55.14
27 " Private" 11 " Married" " White-Collar" " White" " Female" 35 44.35
20 " Private" 10 " Single" " Sales" " White" " Male" 20 48.78
49 " Private" 10 " Married" " Blue-Collar" " Asian-Pac-Islander" " Male" 40 50.09
61 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 40 49.93
27 " Private" 10 " Single" " Sales" " White" " Female" 40 39.51
19 " Private" 10 " Single" " Service" " White" " Male" 30 47.05
45 " Private" 11 " Single" " Professional" " White" " Female" 40 36.82
70 " Private" 10 " Single" " Service" " White" " Male" 40 46.37
31 " Private" 9 " Single" " Blue-Collar" " Black" " Female" 30 37.42
22 " Private" 10 " Married" " Service" " White" " Male" 24 50.42
36 " Private" 9 " Widowed" " Service" " White" " Female" 24 35.17
64 " Private" 7 " Married" " Blue-Collar" " White" " Male" 40 56.67
43 " Other/Unknown" 10 " Divorced" " Other/Unknown" " White" " Female" 40 40.79
47 " Government" 10 " Divorced" " White-Collar" " White" " Female" 38 46.08
34 " Private" 9 " Single" " White-Collar" " White" " Female" 40 44.59
33 " Private" 13 " Single" " White-Collar" " Asian-Pac-Islander" " Female" 40 44.26
21 " Private" 9 " Single" " Blue-Collar" " White" " Male" 35 51.13
52 " Other/Unknown" 9 " Divorced" " Other/Unknown" " White" " Male" 45 44.68
48 " Private" 9 " Married" " Blue-Collar" " White" " Male" 46 55.37
23 " Private" 13 " Single" " Blue-Collar" " White" " Male" 40 51.36
71 " Self-Employed" 10 " Separated" " Sales" " Black" " Male" 2 38.42
29 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 60 51.72
42 " Private" 13 " Separated" " Service" " Black" " Male" 50 43.74
68 " Other/Unknown" 2 " Divorced" " Other/Unknown" " White" " Female" 20 33.51
25 " Private" 9 " Single" " Service" " White" " Female" 40 39.85
44 " Self-Employed" 14 " Divorced" " White-Collar" " Asian-Pac-Islander" " Female" 40 39.26
28 " Private" 9 " Single" " White-Collar" " Asian-Pac-Islander" " Female" 40 38.81
45 " Self-Employed" 14 " Married" " Sales" " White" " Male" 40 57.37
36 " Private" 10 " Divorced" " Service" " White" " Female" 40 38.55
39 " Government" 12 " Single" " White-Collar" " White" " Male" 42 58.75
46 " Government" 14 " Widowed" " Service" " White" " Male" 40 55.69
18 " Private" 7 " Single" " Blue-Collar" " White" " Male" 16 48.22
66 " Government" 11 " Widowed" " Professional" " White" " Female" 20 45.52
27 " Private" 9 " Single" " Service" " White" " Male" 40 48.54
28 " Government" 9 " Married" " Service" " White" " Male" 40 55.4
51 " Private" 10 " Married" " Sales" " White" " Male" 40 52.96
27 " Private" 13 " Single" " Blue-Collar" " White" " Male" 50 52.27
28 " Government" 13 " Married" " Professional" " White" " Male" 40 62.33
27 " Private" 9 " Married" " Sales" " White" " Female" 25 39.87
21 " Private" 9 " Single" " Blue-Collar" " Black" " Male" 40 40.43
34 " Private" 9 " Single" " Blue-Collar" " Black" " Male" 40 43.09
18 " Private" 9 " Single" " Service" " White" " Male" 12 47.31
33 " Private" 13 " Married" " Professional" " White" " Male" 65 55.84
44 " Government" 10 " Married" " White-Collar" " Black" " Male" 38 52.64
43 " Private" 10 " Divorced" " White-Collar" " White" " Female" 40 42.46
30 " Private" 10 " Single" " Blue-Collar" " Black" " Male" 45 45.88
40 " Private" 4 " Married" " Blue-Collar" " White" " Male" 40 52.94
37 " Government" 10 " Married" " White-Collar" " White" " Male" 42 59.74
34 " Private" 9 " Married" " White-Collar" " Black" " Male" 40 48.54
41 " Self-Employed" 13 " Divorced" " White-Collar" " White" " Female" 40 42.07
53 " Other/Unknown" 13 " Divorced" " Other/Unknown" " White" " Female" 50 40.34
31 " Private" 14 " Married" " Professional" " White" " Female" 50 44.94
58 " Government" 16 " Married" " Professional" " White" " Male" 1 60.24
38 " Private" 10 " Divorced" " Blue-Collar" " Black" " Female" 28 41.08
24 " Private" 10 " Married" " Blue-Collar" " White" " Male" 40 55.45
41 " Government" 13 " Married" " Blue-Collar" " Black" " Male" 40 51.81
47 " Private" 10 " Married" " Service" " White" " Male" 45 53.05
41 " Government" 13 " Married" " Service" " White" " Male" 24 55.19
23 " Private" 3 " Married" " Blue-Collar" " White" " Male" 40 50.2
36 " Private" 10 " Divorced" " Blue-Collar" " White" " Male" 40 56.37
40 " Government" 14 " Single" " White-Collar" " White" " Female" 55 50.39
35 " Private" 14 " Married" " Professional" " White" " Male" 40 52.09
24 " Self-Employed" 9 " Single" " Sales" " White" " Male" 40 43.49
26 " Private" 14 " Single" " Professional" " White" " Female" 40 37.95
19 " Other/Unknown" 9 " Single" " Other/Unknown" " White" " Male" 40 48.96
51 " Private" 13 " Married" " White-Collar" " White" " Male" 50 61.68
42 " Government" 10 " Single" " Professional" " White" " Female" 40 43.03
37 " Government" 9 " Divorced" " White-Collar" " White" " Female" 35 49.04
18 " Private" 7 " Single" " Sales" " White" " Female" 40 36.08
36 " Private" 13 " Married" " Service" " Black" " Male" 36 44.24
35 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 60 51.06
58 " Self-Employed" 9 " Married" " Sales" " White" " Female" 35 38.39
17 " Private" 7 " Single" " Sales" " White" " Female" 12 39.34
44 " Government" 9 " Married" " Blue-Collar" " Black" " Male" 40 51.2
37 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 55.34
35 " Private" 10 " Single" " Sales" " Amer-Indian-Eskimo" " Female" 40 36.84
60 " Private" 9 " Married" " Blue-Collar" " Asian-Pac-Islander" " Male" 40 48.75
54 " Self-Employed" 4 " Married" " Blue-Collar" " White" " Male" 40 50.03
37 " Private" 13 " Single" " White-Collar" " Black" " Male" 60 44.95
50 " Private" 12 " Divorced" " Sales" " White" " Female" 40 43.77
38 " Private" 13 " Married" " Sales" " White" " Male" 50 52.79
45 " Private" 13 " Married" " Professional" " White" " Male" 55 53.58
25 " Private" 6 " Single" " Blue-Collar" " White" " Male" 40 47.34
31 " Private" 10 " Married" " Blue-Collar" " White" " Male" 40 52.66
64 " Other/Unknown" 2 " Divorced" " Other/Unknown" " White" " Male" 40 43.59
90 " Private" 9 " Single" " Service" " Black" " Male" 40 42.93
54 " Private" 9 " Married" " White-Collar" " Black" " Male" 20 51.23
53 " Government" 1 " Single" " Blue-Collar" " White" " Female" 35 44.37
18 " Private" 9 " Single" " Sales" " White" " Female" 40 36.8
60 " Other/Unknown" 6 " Divorced" " Other/Unknown" " Amer-Indian-Eskimo" " Female" 10 33.08
66 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 50 51.86
75 " Private" 11 " Widowed" " White-Collar" " White" " Female" 20 43.33
65 " Private" 9 " Divorced" " White-Collar" " White" " Female" 40 46.71
35 " Private" 7 " Separated" " Blue-Collar" " Black" " Male" 40 40.39
41 " Private" 9 " Divorced" " Sales" " Black" " Female" 38 43.07
25 " Private" 10 " Single" " White-Collar" " White" " Male" 42 52.93
33 " Private" 10 " Divorced" " Blue-Collar" " Other" " Female" 40 34.72
28 " Private" 15 " Single" " Professional" " White" " Male" 55 49.66
59 " Government" 9 " Married" " Service" " White" " Male" 40 55.61
40 " Government" 10 " Single" " White-Collar" " White" " Female" 38 44.81
41 " Private" 13 " Married" " White-Collar" " White" " Male" 50 58.39
38 " Government" 14 " Married" " White-Collar" " White" " Male" 70 64.42
23 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 51.33
40 " Private" 13 " Married" " Professional" " White" " Male" 40 52.87
41 " Self-Employed" 9 " Married" " Service" " White" " Female" 20 37.04
24 " Government" 12 " Married" " Service" " White" " Male" 50 55.94
20 " Other/Unknown" 10 " Single" " Other/Unknown" " White" " Male" 20 47.29
38 " Private" 10 " Divorced" " Blue-Collar" " White" " Male" 40 50.17
56 " Private" 9 " Married" " White-Collar" " White" " Male" 35 57.16
58 " Private" 9 " Married" " White-Collar" " White" " Male" 45 61.68
32 " Private" 9 " Single" " Service" " White" " Female" 34 37.57
40 " Private" 12 " Married" " Service" " White" " Male" 60 51
45 " Private" 9 " Married" " White-Collar" " White" " Male" 40 56.01
41 " Private" 15 " Married" " Professional" " White" " Female" 40 46.05
42 " Private" 13 " Married" " White-Collar" " Black" " Female" 40 47.74
59 " Government" 6 " Widowed" " Service" " Black" " Female" 30 40.91
19 " Government" 10 " Single" " White-Collar" " White" " Male" 40 56.18
58 " Private" 10 " Single" " Blue-Collar" " White" " Male" 20 51.62
42 " Self-Employed" 9 " Married" " Blue-Collar" " Asian-Pac-Islander" " Male" 40 45.95
20 " Private" 9 " Single" " Service" " White" " Female" 40 37.41
32 " Private" 9 " Separated" " Service" " White" " Female" 30 39.81
45 " Private" 11 " Widowed" " White-Collar" " White" " Female" 45 45.87
50 " Private" 4 " Divorced" " Blue-Collar" " White" " Male" 40 50.71
36 " Private" 13 " Divorced" " Professional" " White" " Female" 40 38.24
45 " Private" 9 " Married" " Sales" " White" " Male" 60 51.9
17 " Private" 7 " Single" " Service" " White" " Male" 12 45.06
59 " Private" 10 " Married" " Sales" " White" " Male" 40 53.16
26 " Private" 7 " Married" " Blue-Collar" " White" " Male" 40 56.75
37 " Self-Employed" 10 " Married" " White-Collar" " Asian-Pac-Islander" " Male" 75 50.55
19 " Other/Unknown" 10 " Single" " Other/Unknown" " White" " Male" 24 47.49
64 " Private" 9 " Married" " White-Collar" " White" " Male" 40 57.64
33 " Private" 13 " Single" " Professional" " White" " Female" 45 36.86
33 " Private" 9 " Married" " Blue-Collar" " White" " Female" 40 44.2
61 " Private" 9 " Married" " White-Collar" " White" " Male" 40 58
17 " Private" 5 " Single" " Service" " White" " Male" 24 47.47
50 " Self-Employed" 14 " Married" " Blue-Collar" " White" " Male" 98 57.71
27 " Government" 14 " Single" " Professional" " White" " Male" 35 55.57
30 " Private" 9 " Divorced" " Professional" " White" " Female" 40 37.1
43 " Private" 9 " Married" " Blue-Collar" " Black" " Male" 40 48.98
44 " Private" 10 " Married" " Blue-Collar" " White" " Male" 40 54.73
35 " Private" 10 " Single" " White-Collar" " White" " Female" 40 43.7
25 " Private" 10 " Single" " Service" " White" " Female" 40 38.2
24 " Private" 10 " Married" " Blue-Collar" " White" " Female" 48 46.12
22 " Private" 13 " Single" " Professional" " White" " Female" 15 39.19
42 " Government" 10 " Married" " Blue-Collar" " White" " Male" 40 56.23
34 " Private" 12 " Divorced" " Sales" " Black" " Female" 45 41.56
60 " Private" 13 " Divorced" " Professional" " White" " Female" 42 42.86
21 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 50.09
57 " Government" 14 " Married" " Sales" " White" " Male" 40 58.49
41 " Private" 15 " Married" " Professional" " White" " Male" 60 55.95
50 " Private" 10 " Divorced" " Service" " White" " Male" 45 50.39
25 " Private" 13 " Single" " White-Collar" " White" " Female" 40 47.26
50 " Private" 4 " Married" " Blue-Collar" " White" " Male" 40 53.5
36 " Private" 13 " Married" " Professional" " White" " Male" 45 54.8
31 " Private" 9 " Divorced" " Professional" " White" " Female" 40 42.26
29 " Government" 13 " Single" " Service" " White" " Male" 56 55.69
21 " Private" 10 " Single" " Sales" " White" " Male" 45 50.37
27 " Private" 13 " Single" " Service" " Black" " Female" 40 37.89
65 " Private" 9 " Married" " Blue-Collar" " White" " Male" 16 59.22
37 " Self-Employed" 13 " Divorced" " Sales" " White" " Female" 60 38.07
39 " Other/Unknown" 14 " Married" " Other/Unknown" " Asian-Pac-Islander" " Female" 40 42.94
24 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 48.01
38 " Private" 9 " Divorced" " Sales" " White" " Male" 80 50.37
48 " Private" 13 " Married" " White-Collar" " White" " Male" 40 61.17
21 " Private" 10 " Single" " Service" " Asian-Pac-Islander" " Female" 25 34.55
31 " Private" 9 " Married" " Blue-Collar" " White" " Male" 45 53.56
55 " Private" 9 " Married" " Sales" " White" " Male" 40 50.76
24 " Private" 10 " Married" " White-Collar" " Asian-Pac-Islander" " Female" 40 43.41
43 " Private" 9 " Divorced" " White-Collar" " White" " Female" 40 43.41
26 " Private" 12 " Single" " Service" " White" " Male" 45 49.51
46 " Private" 12 " Single" " Professional" " White" " Female" 33 36.06
35 " Private" 12 " Married" " White-Collar" " White" " Male" 40 58.39
41 " Self-Employed" 10 " Married" " Blue-Collar" " White" " Male" 54 55.42
26 " Private" 13 " Single" " Sales" " White" " Male" 40 53.09
34 " Private" 14 " Married" " White-Collar" " Asian-Pac-Islander" " Male" 35 51.51
19 " Other/Unknown" 10 " Single" " Other/Unknown" " Black" " Female" 25 35.93
36 " Self-Employed" 13 " Divorced" " Professional" " Black" " Female" 40 34.86
22 " Private" 10 " Single" " Sales" " White" " Male" 15 46.01
24 " Private" 10 " Single" " Blue-Collar" " White" " Male" 40 50.32
77 " Self-Employed" 10 " Married" " Sales" " White" " Male" 40 52.02
22 " Private" 3 " Married" " Blue-Collar" " White" " Female" 40 42.58
29 " Private" 10 " Single" " Service" " White" " Female" 40 35.65
62 " Private" 9 " Widowed" " Service" " White" " Female" 24 42.24
39 " Self-Employed" 9 " Married" " White-Collar" " White" " Male" 40 55.98
43 " Private" 10 " Married" " Blue-Collar" " White" " Male" 50 56.36
35 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 45 54.63
29 " Private" 7 " Single" " White-Collar" " White" " Female" 40 39.56
76 " Self-Employed" 14 " Married" " Blue-Collar" " White" " Male" 10 55.24
63 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 45 51.98
23 " Other/Unknown" 11 " Single" " Other/Unknown" " Black" " Female" 15 35.92
43 " Private" 10 " Married" " Professional" " White" " Female" 50 43.77
58 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 40 54
66 " Private" 9 " Single" " Blue-Collar" " White" " Male" 55 55.09
41 " Private" 10 " Single" " Blue-Collar" " Black" " Male" 45 43.69
26 " Private" 13 " Single" " White-Collar" " White" " Male" 40 56.05
47 " Private" 11 " Single" " Service" " White" " Male" 40 46.64
55 " Government" 6 " Married" " White-Collar" " White" " Male" 40 59.27
53 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 58.62
17 " Private" 3 " Single" " Service" " White" " Male" 48 46.63
30 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 46.79
49 " Private" 14 " Single" " Professional" " White" " Male" 60 48.88
19 " Private" 9 " Single" " Sales" " Black" " Male" 30 38.86
45 " Private" 9 " Married" " Service" " Black" " Male" 40 46.07
26 " Private" 12 " Single" " Sales" " White" " Male" 40 48.5
38 " Private" 11 " Married" " Blue-Collar" " White" " Male" 40 57
36 " Government" 9 " Married" " Service" " White" " Male" 40 57.99
33 " Private" 9 " Single" " Blue-Collar" " White" " Male" 20 53.72
22 " Government" 10 " Single" " Service" " Black" " Female" 40 42.07
43 " Self-Employed" 13 " Single" " Sales" " White" " Male" 42 46.48
67 " Other/Unknown" 7 " Married" " Other/Unknown" " White" " Male" 8 44.91
30 " Other/Unknown" 11 " Divorced" " Other/Unknown" " White" " Female" 40 36.71
56 " Private" 12 " Married" " Service" " White" " Male" 25 52.01
31 " Private" 13 " Single" " Professional" " White" " Male" 25 47.76
33 " Private" 13 " Married" " White-Collar" " White" " Male" 40 57.86
26 " Private" 9 " Married" " Service" " White" " Male" 40 53.8
33 " Private" 13 " Married" " White-Collar" " White" " Male" 40 54.23
46 " Government" 7 " Married" " Blue-Collar" " White" " Male" 30 57.6
59 " Other/Unknown" 13 " Married" " Other/Unknown" " White" " Male" 40 51.23
38 " Government" 9 " Married" " White-Collar" " White" " Male" 40 59.34
65 " Private" 7 " Widowed" " Service" " Other" " Male" 40 38.49
40 " Private" 11 " Married" " Service" " White" " Male" 40 53.63
42 " Private" 9 " Married" " White-Collar" " White" " Female" 35 47.03
26 " Self-Employed" 5 " Married" " Blue-Collar" " White" " Male" 40 45.6
36 " Private" 6 " Married" " Service" " White" " Female" 24 45.8
62 " Private" 14 " Married" " Professional" " White" " Male" 40 54.99
43 " Private" 13 " Married" " Blue-Collar" " White" " Male" 45 57.97
43 " Private" 13 " Divorced" " White-Collar" " White" " Male" 45 56.22
22 " Private" 9 " Married" " Sales" " White" " Male" 55 54.15
28 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 56.47
56 " Self-Employed" 10 " Married" " Sales" " White" " Male" 45 49.71
22 " Private" 12 " Single" " Sales" " White" " Female" 15 38.59
57 " Private" 13 " Divorced" " White-Collar" " White" " Female" 45 44.2
39 " Private" 9 " Divorced" " Sales" " White" " Female" 40 40.87
26 " Government" 10 " Single" " White-Collar" " White" " Female" 15 45.41
17 " Private" 7 " Single" " Service" " White" " Male" 10 50.81
40 " Government" 11 " Married" " Blue-Collar" " White" " Male" 38 56.45
45 " Private" 9 " Married" " Blue-Collar" " Black" " Male" 40 46.41
44 " Private" 9 " Single" " Blue-Collar" " Black" " Male" 40 44.96
20 " Government" 10 " Single" " White-Collar" " White" " Female" 10 47.02
33 " Private" 9 " Married" " Blue-Collar" " White" " Female" 40 43.8
23 " Private" 10 " Single" " Sales" " White" " Male" 40 46
46 " Self-Employed" 14 " Divorced" " White-Collar" " White" " Male" 30 52.91
38 " Private" 9 " Married" " Sales" " White" " Male" 50 52.4
54 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 40 49.03
46 " Private" 3 " Divorced" " Blue-Collar" " White" " Female" 45 40.73
25 " Private" 10 " Married" " Blue-Collar" " White" " Male" 40 55.43
46 " Private" 10 " Divorced" " Sales" " White" " Female" 40 40.03
36 " Government" 10 " Married" " Blue-Collar" " White" " Female" 40 47.27
23 " Private" 9 " Single" " Service" " White" " Female" 25 38.18
29 " Private" 9 " Separated" " Blue-Collar" " White" " Male" 40 53.62
44 " Private" 10 " Married" " White-Collar" " White" " Female" 6 47.51
19 " Private" 10 " Single" " White-Collar" " White" " Female" 16 39.88
19 " Private" 9 " Single" " Service" " White" " Female" 40 36.69
35 " Private" 9 " Married" " Service" " White" " Female" 40 42.73
27 " Private" 13 " Single" " Blue-Collar" " White" " Male" 50 51.05
46 " Self-Employed" 12 " Separated" " Blue-Collar" " White" " Male" 40 44.98
34 " Government" 13 " Married" " White-Collar" " White" " Male" 45 64.17
34 " Private" 9 " Single" " Service" " White" " Female" 35 36.2
44 " Private" 10 " Married" " Service" " White" " Male" 40 51.47
